subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-01,sub-01_task-rest_run-1_timeseries,0,15,N2,0.5463065326633166,0.36929611203528917
sub-01,sub-01_task-rest_run-1_timeseries,1,30,N2,0.5514195979899496,0.34830244641490826
sub-01,sub-01_task-rest_run-1_timeseries,2,45,N2,0.5301005025125627,0.3642053062301233
sub-01,sub-01_task-rest_run-1_timeseries,6,105,N2,0.5376758793969849,0.367931705108383
sub-01,sub-01_task-rest_run-1_timeseries,7,120,N2,0.5342252931323281,0.35480545888596504
sub-01,sub-01_task-rest_run-1_timeseries,8,135,N2,0.5403015075376885,0.3631112851224524
sub-01,sub-01_task-rest_run-1_timeseries,9,150,N2,0.5417336683417086,0.3983424745594005
sub-01,sub-01_task-rest_run-1_timeseries,10,165,N2,0.5077696817420435,0.3665646963421082
sub-01,sub-01_task-rest_run-1_timeseries,11,180,N2,0.5305469011725292,0.3682827231655554
sub-01,sub-01_task-rest_run-1_timeseries,12,195,N2,0.5381691792294807,0.41634687066979775
sub-01,sub-01_task-rest_run-1_timeseries,13,210,N2,0.5242462311557788,0.390335873658924
sub-01,sub-01_task-rest_run-1_timeseries,14,225,N2,0.5257219430485762,0.3849758948996764
sub-01,sub-01_task-rest_run-1_timeseries,15,240,N2,0.5369514237855947,0.38347705999421694
sub-01,sub-01_task-rest_run-1_timeseries,16,255,N2,0.5274556113902847,0.399266092247116
sub-01,sub-01_task-rest_run-1_timeseries,17,270,N2,0.5341876046901173,0.38531779853925036
sub-01,sub-01_task-rest_run-2_timeseries,0,15,Wake,0.4951761186886814,0.3455973733864847
sub-01,sub-01_task-rest_run-2_timeseries,3,60,Wake,0.5199455611390285,0.37662758041051364
sub-01,sub-01_task-rest_run-2_timeseries,4,75,Wake,0.5407453936348409,0.3909106972529479
sub-01,sub-01_task-rest_run-2_timeseries,5,90,Wake,0.5250410385259632,0.37131029080681605
sub-01,sub-01_task-rest_run-2_timeseries,6,105,Wake,0.47103015075376886,0.4530993799287205
sub-01,sub-01_task-rest_run-2_timeseries,7,120,Wake,0.4746994496290979,0.40584977024424407
sub-01,sub-01_task-rest_run-2_timeseries,8,135,Wake,0.4949229480737018,0.3650120455249306
sub-01,sub-01_task-rest_run-2_timeseries,9,150,Wake,0.49665996649916244,0.3968465406142521
sub-01,sub-01_task-rest_run-2_timeseries,10,165,Wake,0.47380234505862645,0.3548310389248224
sub-01,sub-01_task-rest_run-2_timeseries,11,180,Wake,0.5102395309882747,0.37507879511081366
sub-01,sub-01_task-rest_run-2_timeseries,14,225,Wake,0.5069798994974875,0.36029565480770886
sub-01,sub-01_task-rest_run-2_timeseries,17,270,N2,0.5134681742043551,0.3220386909264211
sub-01,sub-01_task-sleep_run-1_timeseries,0,15,N2,0.5111440536013401,0.37085964108708297
sub-01,sub-01_task-sleep_run-1_timeseries,2,45,N1,0.5318760469011725,0.4333434623043034
sub-01,sub-01_task-sleep_run-1_timeseries,3,60,N1,0.5184974874371859,0.38895787611143307
sub-01,sub-01_task-sleep_run-1_timeseries,6,105,N1,0.509321608040201,0.41466316879846926
sub-01,sub-01_task-sleep_run-1_timeseries,7,120,N1,0.5109380234505863,0.3805211206279578
sub-01,sub-01_task-sleep_run-1_timeseries,11,180,N1,0.5317211055276381,0.37219141637263004
sub-01,sub-01_task-sleep_run-1_timeseries,12,195,N1,0.5215326633165829,0.38482423312341907
sub-01,sub-01_task-sleep_run-1_timeseries,13,210,N1,0.5349329983249581,0.38760768477012914
sub-01,sub-01_task-sleep_run-1_timeseries,15,240,Wake,0.5200234505862646,0.35926582273223273
sub-01,sub-01_task-sleep_run-1_timeseries,17,270,N1,0.529036850921273,0.3870339612893801
sub-01,sub-01_task-sleep_run-1_timeseries,18,285,N1,0.5343509212730317,0.3390822015333515
sub-01,sub-01_task-sleep_run-1_timeseries,20,315,N2,0.5459045226130653,0.4114097039940459
sub-01,sub-01_task-sleep_run-1_timeseries,21,330,N2,0.5466373534338359,0.3741955923234525
sub-01,sub-01_task-sleep_run-1_timeseries,22,345,N2,0.5423802345058626,0.38261771128619004
sub-01,sub-01_task-sleep_run-1_timeseries,23,360,N2,0.5155251256281407,0.41148605496063895
sub-01,sub-01_task-sleep_run-1_timeseries,24,375,N2,0.47755695142378557,0.25835548909932504
sub-01,sub-01_task-sleep_run-1_timeseries,25,390,N2,0.5088333333333334,0.3303812774300244
sub-01,sub-01_task-sleep_run-2_timeseries,0,15,Wake,0.48785259631490785,0.3510221013389791
sub-01,sub-01_task-sleep_run-2_timeseries,1,30,Wake,0.520577889447236,0.4025153109540708
sub-01,sub-01_task-sleep_run-2_timeseries,2,45,Wake,0.5395686767169179,0.38722356561839144
sub-01,sub-01_task-sleep_run-2_timeseries,3,60,Wake,0.5351356783919599,0.4130518560764151
sub-01,sub-01_task-sleep_run-2_timeseries,4,75,Wake,0.5235092127303183,0.4104161753410384
sub-01,sub-01_task-sleep_run-2_timeseries,5,90,Wake,0.4985678391959798,0.3543408839832011
sub-01,sub-01_task-sleep_run-2_timeseries,6,105,Wake,0.527038525963149,0.40680385884582293
sub-01,sub-01_task-sleep_run-2_timeseries,7,120,Wake,0.5187403685092127,0.39874084091775763
sub-01,sub-01_task-sleep_run-2_timeseries,9,150,N1,0.5419849246231154,0.3653112589623408
